display_id,name,clean_name
K645,Bộ nồi inox 5 món kailer; KL-6667,Bộ nồi inox 5 món kailer; KL-6667
C345,Gối massage cổ vai gáy Okato SK-P55,Gối massage cổ vai gáy Okato SK-P55
M45,Máy sấy tóc amey tròn AM016,Máy sấy tóc amey tròn AM016
M35,Bếp từ lõm AMEY cao cấp (sủ dụng cho tất cả các loại nồi) AM099,Bếp từ lõm AMEY cao cấp (sủ dụng cho tất cả các loại nồi) AM099
C621,Bộ nồi inox 304 cao cấp Gume Classic GM-3566,Bộ nồi inox 304 cao cấp Gume Classic GM-3566
K193,Túi 65 viên giặt xả Duree Balle hương nước hoa ( tặng 1 chai tẩy trắng quần áo ),Túi 65 viên giặt xả Duree Balle hương nước hoa
K518,Dụng Cụ Xay Tỏi Ớt Kalpen - Dung Tích 400ml S3,Dụng Cụ Xay Tỏi Ớt Kalpen - Dung Tích 400ml S3
C636,Cốc Giữ Nhiệt Inox 304 Kalpen Dung Tích 750ml E8 + E9 ( mua 1 tặng 1 ),Cốc Giữ Nhiệt Inox 304 Kalpen Dung Tích 750ml E8 + E9 ( )
C604,Máy xay ăn dặm 0.3L Gume GM2212,Máy xay ăn dặm 0.3L Gume GM2212
E161,NỒI CƠM TÁCH ĐƯỜNG Lòng Nồi Vân Tổ Ong kim cương JW-34F ( Tặng 1 chảo JW-G26 sz 20cm ),NỒI CƠM TÁCH ĐƯỜNG Lòng Nồi Vân Tổ Ong kim cương JW-34F
K167,Nước tẩy toilet không mùi Mitsuei - COMBO 3 CHAI,Nước tẩy toilet không mùi Mitsuei
M64,Bếp lẩu nướng Amey AM009,Bếp lẩu nướng Amey AM009
B806,BVS DẠNG QUẦN,BVS DẠNG QUẦN
M425,Bàn là hơi nước,Bàn là hơi nước
C324,Nồi Cháo chậm SEKA GT68,Nồi Cháo chậm SEKA GT68
M306,Bàn là hơi nước Kailer KL-1655,Bàn là hơi nước Kailer KL-1655
AM6,Set vali ABS (size 20 + size 24),Set vali ABS (size 20 + size 24)
AC092,chiếu mây betlep,chiếu mây betlep
K213,"Set 3 thớt bằng nhựa PP cao cấp kèm giá đỡ Mirai -3 size, 3 màu","Set 3 thớt bằng nhựa PP cao cấp kèm giá đỡ Mirai -3 size, 3 màu"
M410,Máy ép chậm AMEY cổ to,Máy ép chậm AMEY cổ to
M53,Chảo sâu lòng Amey chống dính tự thân,Chảo sâu lòng Amey chống dính tự thân
K499,"Xửng hấp Inox 304 thông minh Kalpen SSK-20, SSK-24","Xửng hấp Inox 304 thông minh Kalpen SSK-20, SSK-24"
K145,Chảo gang Oceno sâu lòng có vung kính 25cm,Chảo gang Oceno sâu lòng có vung kính 25cm
K132,Combo Dao nạo vỏ+ nạo sợi Kaiyo,Combo Dao nạo vỏ+ nạo sợi Kaiyo
C617,"Máy đánh trứng, tạo bọt cafe SK788","Máy đánh trứng, tạo bọt cafe SK788"
K151,Hộp cơm giữ nhiệt Kaiyo dung tích 1.700ml,Hộp cơm giữ nhiệt Kaiyo dung tích 1.700ml
E141,Chảo inox nguyên khối 5 lớp vân tổ ong JW-G26,Chảo inox nguyên khối 5 lớp vân tổ ong JW-G26
C328,Ấm Siêu Tốc SEKA SK2819S Vân Đá,Ấm Siêu Tốc SEKA SK2819S Vân Đá
K196,Nước tẩy trắng quần áo 600ml Mitsuei - COMBO 3 CHAI,Nước tẩy trắng quần áo 600ml Mitsuei
A223,Áo len trơn đơn giản viền KX24,Áo len trơn đơn giản viền KX24
M267,TÚI XÁCH BASIC ĐEN,TÚI XÁCH BASIC ĐEN
C561,Kéo cắt gà đa năng GGOMi GG172 + Kẹp thịt (L) GG201,Kéo cắt gà đa năng GGOMi GG172 + Kẹp thịt (L) GG201
K211,"COMBO 3 dao inox phủ chống dính nguyên khối Mirai (dao gọt 21cm, dao thái 27cm, dao thái 30cm)","COMBO 3 dao inox phủ chống dính nguyên khối Mirai (dao gọt 21cm, dao thái 27cm, dao thái 30cm)"
M621,DAO THÁI THỊT SIÊU SẮC CHEF180 MK-202,DAO THÁI THỊT SIÊU SẮC CHEF180 MK-202
M41,Quạt thép cacbon AMEY AM064,Quạt thép cacbon AMEY AM064
M101,Bếp đôi 2 từ Hawonkoo CEH-208-II  ( Tặng Nồi chiên không dầu Hawonkoo AFH-045 ),Bếp đôi 2 từ Hawonkoo CEH-208-II
M78,Tông đơ cắt tóc,Tông đơ cắt tóc
E148,Chảo Inox Cao Cấp JIWON Công Nghệ Nano_Cool ( Kèm vung kính) JW-IN316,Chảo Inox Cao Cấp JIWON Công Nghệ Nano_Cool ( Kèm vung kính) JW-IN316
C37,Máy Làm Sữa Hạt Hồng SEKA SK320-PLUS,Máy Làm Sữa Hạt Hồng SEKA SK320-PLUS
A166,Áo gile cài cúc họa tiết hoa 4 cánh LV24-96,Áo gile cài cúc họa tiết hoa 4 cánh LV24-96
K109,Ấm siêu tốc 2 lớp cool touch 2L Kaiyo,Ấm siêu tốc 2 lớp cool touch 2L Kaiyo
M43,Nồi chiên Amey 12L,Nồi chiên Amey 12L
E116,Đồng hồ IBSO 9268LR,Đồng hồ IBSO 9268LR
H131,Quánh Inox CIC1230,Quánh Inox CIC1230
C350,Nắp bồn tắm,Nắp bồn tắm
C325,Bình Đun Nước Ấm Pha Sữa,Bình Đun Nước Ấm Pha Sữa
C543,COMBO DAO EL62 + MÀI DAO EL6331,COMBO DAO EL62 + MÀI DAO EL6331
M266,MÁY LÀM SỮA HẠT HEY JUZU,MÁY LÀM SỮA HẠT HEY JUZU
B865,Ấm siêu tốc đức thuỷ tinh viền vàng PL0290,Ấm siêu tốc đức thuỷ tinh viền vàng PL0290
K111,Bình ủ cháo Kaiyo dung tích 500ml,Bình ủ cháo Kaiyo dung tích 500ml
M103,Máy ép chậm Hawonkoo SJH-045,Máy ép chậm Hawonkoo SJH-045
K120,"Chảo đúc inox 3 lớp đáy liền Tri-Ply Kaiyo, mini size","Chảo đúc inox 3 lớp đáy liền Tri-Ply Kaiyo, mini size"
K393,"Dụng cụ gọt vỏ dọc Kailer, KL-112","Dụng cụ gọt vỏ dọc Kailer, KL-112"
V276,Áo polo APL074,Áo polo APL074
C500,Combo Dao vuông chống dính GG375+Dao nhọn chống dính GG376 (tặng Nạo GG601 và GG602),Combo Dao vuông chống dính GG375+Dao nhọn chống dính GG376
C504,Set 3 đôi Đũa chân không GG624 (tặng 1 Đũa xào 36 cm GG678),Set 3 đôi Đũa chân không GG624
C316,Máy Làm Sữa Hạt SEKA SK-E400,Máy Làm Sữa Hạt SEKA SK-E400
C66,Bồn Tắm Gấp Gọn Thông Minh Seka,Bồn Tắm Gấp Gọn Thông Minh Seka
